"species","model","value","metric","time"
"4pc_049","Regression","0.736345822455946","AUC","730.234000000004"
"4pc_049","Regression","0.118100020697033","COR","730.234000000004"
"4pc_049","Equal-sample","0.840275916343897","AUC","4.77899999999499"
"4pc_049","Equal-sample","0.700755421499999","COR","4.77899999999499"
"4pc_049","Default","0.665328994410925","AUC","93.7490000000034"
"4pc_049","Default","0.111629502919088","COR","93.7490000000034"
"4pc_049","Down-sample","0.848091122490072","AUC","8.65499999999884"
"4pc_049","Down-sample","0.691830092126679","COR","8.65499999999884"
"4pc_049","Weighted","0.649941411235293","AUC","300.133999999998"
"4pc_049","Weighted","0.127093034582194","COR","300.133999999998"
"4pc_049","ranger","0.909981569564461","AUC","6.18999999999505"
"4pc_049","ranger","0.929215784414008","COR","6.18999999999505"
"4pc_049","ranger-tuned","0.910601763064834","AUC","107.383000000002"
"4pc_049","ranger-tuned","0.928952905845283","COR","107.383000000002"
