"species","model","value","metric"
"4pc_068","Regression","0.00145846426175033","AUC"
"4pc_068","Regression","0.00662705241268108","COR"
"4pc_068","Equal-sample","0.0117370212103065","AUC"
"4pc_068","Equal-sample","0.0183384049539413","COR"
"4pc_068","Default","0.00407724827319691","AUC"
"4pc_068","Default","0.00413610818747002","COR"
"4pc_068","Down-sample","0.0021759981143146","AUC"
"4pc_068","Down-sample","0.00448434125384221","COR"
"4pc_068","Weighted","0.00162853023144527","AUC"
"4pc_068","Weighted","0.00337598732027199","COR"
"4pc_068","Ranger","0.000532472229608449","AUC"
"4pc_068","Ranger","0.00195034692596806","COR"
"4pc_068","Ranger-tuned","0.000701455368886","AUC"
"4pc_068","Ranger-tuned","0.00228665199150726","COR"
