"species","region","occ","model","value","metric","time"
"can10","CAN","234","Regression","0.639961544278096","AUC","307.367999999999"
"can10","CAN","234","Regression","0.0193868624910955","COR","307.367999999999"
"can10","CAN","234","Equal-sample","0.698640396991725","AUC","2.84200000000055"
"can10","CAN","234","Equal-sample","0.188330035202941","COR","2.84200000000055"
"can10","CAN","234","Default","0.592378769656926","AUC","32.7930000000015"
"can10","CAN","234","Default","0.0165230424382196","COR","32.7930000000015"
"can10","CAN","234","Down-sample","0.697674323004052","AUC","4.40799999999945"
"can10","CAN","234","Down-sample","0.171842442279254","COR","4.40799999999945"
"can10","CAN","234","Weighted","0.620338804031764","AUC","35.4460000000036"
"can10","CAN","234","Weighted","0.0238239318972823","COR","35.4460000000036"
"can10","CAN","234","ranger","0.687490488089996","AUC","4.83499999999913"
"can10","CAN","234","ranger","0.13602982799862","COR","4.83499999999913"
"can10","CAN","234","ranger-tuned","0.688467484270839","AUC","104.994999999999"
"can10","CAN","234","ranger-tuned","0.0559457196500658","COR","104.994999999999"
