"species","region","occ","model","value","metric","time"
"sa07","SA","17","Regression","0.829861111111114","AUC","70.2970000000059"
"sa07","SA","17","Regression","0.33890451120661","COR","70.2970000000059"
"sa07","SA","17","Equal-sample","0.913194444444444","AUC","0.207999999998719"
"sa07","SA","17","Equal-sample","0.366661351583859","COR","0.207999999998719"
"sa07","SA","17","Default","0.572048611111113","AUC","19.4670000000042"
"sa07","SA","17","Default","0.329543714480089","COR","19.4670000000042"
"sa07","SA","17","Down-sample","0.910590277777778","AUC","2.95999999999185"
"sa07","SA","17","Down-sample","0.38065535088541","COR","2.95999999999185"
"sa07","SA","17","Weighted","0.657552083333331","AUC","19.05799999999"
"sa07","SA","17","Weighted","0.314285527335239","COR","19.05799999999"
"sa07","SA","17","ranger","0.875000000000001","AUC","3.68799999999464"
"sa07","SA","17","ranger","0.360994076977178","COR","3.68799999999464"
"sa07","SA","17","ranger-tuned","0.894965277777778","AUC","89.2399999999907"
"sa07","SA","17","ranger-tuned","0.359629849840894","COR","89.2399999999907"
