"species","region","occ","model","value","metric","time"
"swi28","SWI","5528","Regression","0.791471543592549","AUC","1916.19"
"swi28","SWI","5528","Regression","0.473287252299279","COR","1916.19"
"swi28","SWI","5528","Equal-sample","0.814260870460115","AUC","130.598000000013"
"swi28","SWI","5528","Equal-sample","0.532820043512745","COR","130.598000000013"
"swi28","SWI","5528","Default","0.792458835378347","AUC","74.3070000000007"
"swi28","SWI","5528","Default","0.474832543703711","COR","74.3070000000007"
"swi28","SWI","5528","Down-sample","0.813900368371666","AUC","23.5030000000115"
"swi28","SWI","5528","Down-sample","0.537310008869396","COR","23.5030000000115"
"swi28","SWI","5528","Weighted","0.797652556601993","AUC","80.9109999999928"
"swi28","SWI","5528","Weighted","0.468994556335539","COR","80.9109999999928"
"swi28","SWI","5528","ranger","0.79188340012748","AUC","5.10499999999593"
"swi28","SWI","5528","ranger","0.48080574185584","COR","5.10499999999593"
"swi28","SWI","5528","ranger-tuned","0.809746293924199","AUC","112.182000000001"
"swi28","SWI","5528","ranger-tuned","0.524847184804493","COR","112.182000000001"
