"species","region","occ","model","value","metric","time"
"awt12","AWT","32","Regression","0.791666666666668","AUC","0.676000000000002"
"awt12","AWT","32","Regression","0.193115653503462","COR","0.676000000000002"
"awt12","AWT","32","Equal-sample","0.820698302469134","AUC","0.584999999999994"
"awt12","AWT","32","Equal-sample","0.230392286450062","COR","0.584999999999994"
"awt12","AWT","32","Default","0.786651234567899","AUC","0.308999999999997"
"awt12","AWT","32","Default","0.186089378108284","COR","0.308999999999997"
"awt12","AWT","32","Down-sample","0.821759259259258","AUC","0.0810000000000031"
"awt12","AWT","32","Down-sample","0.237165770397239","COR","0.0810000000000031"
"awt12","AWT","32","Weighted","0.761091820987654","AUC","0.358000000000004"
"awt12","AWT","32","Weighted","0.194524337429653","COR","0.358000000000004"
"awt12","AWT","32","ranger","0.822916666666666","AUC","0.0869999999999891"
"awt12","AWT","32","ranger","0.223942424810395","COR","0.0869999999999891"
"awt12","AWT","32","ranger-tuned","0.820987654320987","AUC","2.45299999999999"
"awt12","AWT","32","ranger-tuned","0.227142152990717","COR","2.45299999999999"
