"species","region","occ","model","value","metric","time"
"can17","CAN","313","Regression","0.668212654204604","AUC","8.529"
"can17","CAN","313","Regression","0.19728494911411","COR","8.529"
"can17","CAN","313","Equal-sample","0.697119089372347","AUC","4.298"
"can17","CAN","313","Equal-sample","0.267145927227922","COR","4.298"
"can17","CAN","313","Default","0.664388850375447","AUC","2.4430000000001"
"can17","CAN","313","Default","0.186920044478238","COR","2.4430000000001"
"can17","CAN","313","Down-sample","0.712985755114102","AUC","0.802000000000021"
"can17","CAN","313","Down-sample","0.285630577383123","COR","0.802000000000021"
"can17","CAN","313","Weighted","0.671073650929792","AUC","2.87099999999998"
"can17","CAN","313","Weighted","0.185742858528204","COR","2.87099999999998"
"can17","CAN","313","ranger","0.80000605581529","AUC","0.418999999999983"
"can17","CAN","313","ranger","0.373958883593047","COR","0.418999999999983"
"can17","CAN","313","ranger-tuned","0.800468145521519","AUC","8.66599999999994"
"can17","CAN","313","ranger-tuned","0.374639739158647","COR","8.66599999999994"
