"species","region","occ","model","value","metric","time"
"nsw20","NSW","18","Regression","0.96053364453757","AUC","0.878000000000156"
"nsw20","NSW","18","Regression","0.400066787435708","COR","0.878000000000156"
"nsw20","NSW","18","Equal-sample","0.957722197172639","AUC","0.543999999999869"
"nsw20","NSW","18","Equal-sample","0.284736586210085","COR","0.543999999999869"
"nsw20","NSW","18","Default","0.955998196429992","AUC","0.352000000000089"
"nsw20","NSW","18","Default","0.394510489305856","COR","0.352000000000089"
"nsw20","NSW","18","Down-sample","0.953936026310903","AUC","0.0929999999998472"
"nsw20","NSW","18","Down-sample","0.275264598757084","COR","0.0929999999998472"
"nsw20","NSW","18","Weighted","0.812819934753189","AUC","0.437999999999874"
"nsw20","NSW","18","Weighted","0.223887600511643","COR","0.437999999999874"
"nsw20","NSW","18","ranger","0.955573827016418","AUC","0.0809999999999036"
"nsw20","NSW","18","ranger","0.313862063723559","COR","0.0809999999999036"
"nsw20","NSW","18","ranger-tuned","0.950189640081691","AUC","2.31799999999998"
"nsw20","NSW","18","ranger-tuned","0.331438836130809","COR","2.31799999999998"
