"species","region","occ","model","value","metric","time"
"nz51","NZ","42","Regression","0.589988768500663","AUC","5.04100000000017"
"nz51","NZ","42","Regression","0.0258882503872496","COR","5.04100000000017"
"nz51","NZ","42","Equal-sample","0.759789497119552","AUC","0.545999999999822"
"nz51","NZ","42","Equal-sample","0.139332934522315","COR","0.545999999999822"
"nz51","NZ","42","Default","0.569783959033461","AUC","1.21199999999999"
"nz51","NZ","42","Default","0.020556332544713","COR","1.21199999999999"
"nz51","NZ","42","Down-sample","0.7530318048753","AUC","0.210000000000036"
"nz51","NZ","42","Down-sample","0.12587324657133","COR","0.210000000000036"
"nz51","NZ","42","Weighted","0.641388026918853","AUC","1.86899999999969"
"nz51","NZ","42","Weighted","0.0491542574593749","COR","1.86899999999969"
"nz51","NZ","42","ranger","0.797022003536854","AUC","0.23299999999972"
"nz51","NZ","42","ranger","0.164184107806897","COR","0.23299999999972"
"nz51","NZ","42","ranger-tuned","0.761772747477461","AUC","6.23600000000033"
"nz51","NZ","42","ranger-tuned","0.123580928827713","COR","6.23600000000033"
