"species","region","occ","model","value","metric","time"
"sa20","SA","54","Regression","0.693661971830989","AUC","1.60199999999986"
"sa20","SA","54","Regression","0.0671823325806755","COR","1.60199999999986"
"sa20","SA","54","Equal-sample","0.870422535211268","AUC","0.699000000000069"
"sa20","SA","54","Equal-sample","0.32270347761861","COR","0.699000000000069"
"sa20","SA","54","Default","0.673943661971834","AUC","0.95699999999988"
"sa20","SA","54","Default","0.0337622590953836","COR","0.95699999999988"
"sa20","SA","54","Down-sample","0.871830985915493","AUC","0.159999999999854"
"sa20","SA","54","Down-sample","0.32882760560952","COR","0.159999999999854"
"sa20","SA","54","Weighted","0.76443661971831","AUC","1.16900000000032"
"sa20","SA","54","Weighted","0.103637515192583","COR","1.16900000000032"
"sa20","SA","54","ranger","0.905633802816904","AUC","0.190000000000055"
"sa20","SA","54","ranger","0.324064139179832","COR","0.190000000000055"
"sa20","SA","54","ranger-tuned","0.897183098591551","AUC","4.279"
"sa20","SA","54","ranger-tuned","0.347956610799888","COR","4.279"
