"species","region","occ","model","value","metric","time"
"swi01","SWI","482","Regression","0.82800945712119","AUC","86.2109999999998"
"swi01","SWI","482","Regression","0.166270754940336","COR","86.2109999999998"
"swi01","SWI","482","Equal-sample","0.851769719475271","AUC","8.96300000000019"
"swi01","SWI","482","Equal-sample","0.150882744228046","COR","8.96300000000019"
"swi01","SWI","482","Default","0.822200176990821","AUC","11.1880000000001"
"swi01","SWI","482","Default","0.162838266768267","COR","11.1880000000001"
"swi01","SWI","482","Down-sample","0.851140911483846","AUC","2.19700000000012"
"swi01","SWI","482","Down-sample","0.158811225157469","COR","2.19700000000012"
"swi01","SWI","482","Weighted","0.838308133841306","AUC","13.6990000000001"
"swi01","SWI","482","Weighted","0.155143742988196","COR","13.6990000000001"
"swi01","SWI","482","ranger","0.807485692613386","AUC","1.00900000000001"
"swi01","SWI","482","ranger","0.108190643242674","COR","1.00900000000001"
"swi01","SWI","482","ranger-tuned","0.827868883391771","AUC","26.0309999999999"
"swi01","SWI","482","ranger-tuned","0.13160065769203","COR","26.0309999999999"
