siteid,spid,x,y,occ,group,bc01,bc04,bc05,bc06,bc12,bc15,bc17,bc20,bc31,bc33,slope,topo,tri
10031,tgb,315817,8173177,0,bird,17.9,0.96,26.4,9.7,2572,79,195,18.3,20,0.63,2.81E+01,37,590.7275
10214,tgb,411976,7897290,0,bird,19.1,1.13,28.3,9.5,2351,97,140,18.5,21,0.6,2.10E+01,73,317.3421
10215,tgb,317947,8262765,0,bird,20.4,0.87,27.6,13.3,2980,81,247,18.1,23,0.57,2.01E+01,53,1111.315
10216,tgb,310878,8253485,0,bird,22.7,0.85,29.5,15.2,1987,95,93,18.9,51,0.19,6.47E+00,7,284.2974
10217,tgb,311424,8252106,0,bird,22.8,0.85,29.6,15.3,1987,95,92,18.9,52,0.19,0.00E+00,50,103.0291
10218,tgb,321220,8247821,0,bird,24.3,0.78,30.8,17.1,1959,100,77,19,58,0.15,7.10E+00,0,823.9988
10219,tgb,323871,8247596,0,bird,24.4,0.78,30.8,17.2,2017,100,82,18.9,56,0.16,5.98E-01,0,187.4913
10220,tgb,320828,8237428,0,bird,24.3,0.79,30.8,16.9,2036,100,83,18.9,56,0.16,3.65E+00,0,464.041
10221,tgb,328780,8201465,0,bird,24.5,0.78,31,17.1,3090,86,189,18.2,33,0.38,0.00E+00,50,0
10223,tgb,328013,8169825,0,bird,22.1,0.89,29.7,13.4,1590,97,78,19.2,54,0.17,3.99E+00,0,100.9851
10224,tgb,327916,8168321,0,bird,22.2,0.89,29.8,13.4,1552,98,74,19.2,56,0.16,6.86E+00,0,142.5412
10032,tgb,316293,8172004,0,bird,18.2,0.96,26.7,9.900001,2426,81,179,18.4,23,0.57,3.37E+01,12,878.3519
10225,tgb,330798,8167576,0,bird,22.1,0.88,29.7,13.4,1614,97,80,19.2,54,0.17,1.65E+01,56,333.6285
10226,tgb,319391,8165636,0,bird,20.6,0.93,28.8,11.5,1522,95,79,19.2,50,0.19,1.69E+01,45,1018.815
10227,tgb,323114,8164655,0,bird,22.1,0.9,29.9,13,1354,102,57,19.5,63,0.12,2.29E+00,72,109.4121
10228,tgb,322906,8164561,0,bird,22.1,0.9,29.9,13,1349,103,57,19.5,63,0.12,2.29E+00,77,88.12491
10229,tgb,329515,8153579,0,bird,21.1,0.92,29.3,11.8,1448,98,69,19.3,55,0.16,1.15E+01,100,366.4806
10232,tgb,354542,8141563,0,bird,22.6,0.86,30.1,14,1980,92,110,18.8,45,0.24,0.00E+00,0,5.567764
10233,tgb,359819,8140645,0,bird,24.3,0.8,31.2,16.3,1948,97,92,18.9,53,0.19,0.00E+00,0,497.1831
10234,tgb,355463,8136927,0,bird,22.6,0.87,30.2,13.9,1949,93,107,18.9,46,0.24,3.82E+01,93,1760.359
10235,tgb,362597,8123144,0,bird,21.4,0.89,29.3,12.9,2055,88,124,18.7,38,0.32,4.19E+01,60,890.6666
10238,tgb,353002,8099810,0,bird,19.9,0.94,28.5,10.9,1639,89,96,19,39,0.3,1.04E+01,79,287.5639
10035,tgb,316164,8169547,0,bird,19,0.95,27.4,10.4,2028,85,134,18.7,32,0.41,3.22E+01,86,590.0356
10239,tgb,357437,8099380,0,bird,20,0.93,28.4,11.2,1838,86,117,18.8,34,0.37,4.62E-01,100,267.7891
10240,tgb,359016,8097777,0,bird,20.1,0.93,28.5,11.3,1908,85,124,18.8,33,0.39,0.00E+00,0,279.9178
10241,tgb,354117,8092277,0,bird,19.8,0.95,28.4,10.8,1764,84,116,18.9,34,0.37,7.22E+00,94,411.3369
10242,tgb,353916,8089027,0,bird,19.8,0.95,28.5,10.7,1792,82,121,18.8,32,0.4,1.68E+01,54,305.4095
10243,tgb,348505,8088465,0,bird,20.1,0.96,28.8,10.7,1483,88,86,19.2,42,0.27,1.08E+01,46,208.8229
10244,tgb,362092,8085377,0,bird,20.3,0.94,28.7,11.4,2439,74,188,18.3,23,0.57,1.42E+01,0,442.3166
10245,tgb,346416,8084977,0,bird,20.2,0.96,29,10.6,1497,86,90,19.1,41,0.28,0.00E+00,0,135.344
10253,tgb,375716,8057478,0,bird,22.8,0.92,30.7,13.7,3337,77,271,17.9,15,0.71,6.91E+00,100,482.3889
10254,tgb,361416,8056678,0,bird,20.7,0.97,29.2,11.3,2915,69,252,18,13,0.75,1.23E+01,67,383.544
10255,tgb,361916,8056478,0,bird,20.4,0.97,29,11.1,2987,68,261,18,11,0.78,3.69E+00,100,485.1989
10042,tgb,315760,8168316,0,bird,18.6,0.96,27.1,10,2206,83,154,18.5,27,0.49,4.91E+00,100,536.6992
10256,tgb,368017,8053778,0,bird,21.8,0.95,30,12.4,3098,74,262,18,13,0.74,6.35E+00,0,398.9085
10257,tgb,355617,8053678,0,bird,19.4,0.9899999,28.2,10.1,2663,70,230,18.2,12,0.76,9.78E-02,50,283.1237
10258,tgb,347417,8052478,0,bird,18.5,1.01,27.5,9.3,2247,73,179,18.4,16,0.68,2.58E+01,47,360.946
10259,tgb,352716,8042478,0,bird,21.7,0.98,30.4,11.7,2260,75,180,18.5,24,0.53,3.17E+01,64,603.8948
10261,tgb,386100,8040822,0,bird,23.4,0.92,31,14.3,3464,76,276,17.8,15,0.71,3.39E+00,0,270.013
10262,tgb,386336,8040823,0,bird,23.4,0.92,31,14.3,3464,76,276,17.8,15,0.71,6.40E-01,0,199.6998
10263,tgb,350835,8025280,0,bird,19.6,1.03,28.6,9.900001,2277,71,197,18.4,16,0.69,6.16E+00,100,233.4159
10264,tgb,402883,8018166,0,bird,23.6,0.92,31,14.6,3070,81,218,18.1,21,0.6,9.77E-02,0,103.465
10266,tgb,374004,7993104,0,bird,23.6,0.98,31.8,13.5,2104,95,106,18.7,38,0.33,0.00E+00,50,148.9799
10270,tgb,366717,7989078,0,bird,20.8,1.04,29.6,10.9,1555,89,116,19.1,35,0.36,0.00E+00,50,55.45268
10049,tgb,319186,8166405,0,bird,20.8,0.93,28.9,11.6,1482,96,75,19.3,52,0.18,1.72E+01,72,840.7265
10271,tgb,367492,7988353,0,bird,20.8,1.03,29.6,10.9,1562,89,117,19.1,35,0.36,0.00E+00,50,66.55074
10273,tgb,379616,7987478,0,bird,22.8,0.9899999,31.1,12.9,2013,93,117,18.8,36,0.36,1.82E+01,22,872.8786
10274,tgb,369017,7987178,0,bird,20.7,1.04,29.5,10.9,1603,89,121,19.1,34,0.38,2.13E+00,50,230.5146
10278,tgb,390371,7982783,0,bird,23.8,0.96,31.7,14,2080,99,94,18.8,42,0.28,0.00E+00,50,68.58572
10279,tgb,370263,7963631,0,bird,23.8,1.01,32.3,13.2,1558,100,71,19.2,53,0.19,1.21E+01,28,231.7952
10282,tgb,374816,7942978,0,bird,20.9,1.08,30,10.8,1297,94,79,19.4,46,0.24,3.18E+00,64,155.3673
10284,tgb,376111,7922139,0,bird,20.5,1.11,29.8,10.2,1213,94,70,19.5,47,0.22,1.31E+00,50,150.1599
10285,tgb,407510,7913406,0,bird,22.2,1.05,30.6,12.1,1410,103,65,19.3,52,0.18,3.53E+01,53,917.9346
10286,tgb,411616,7901579,0,bird,19.9,1.11,28.9,10.2,1886,100,104,18.9,32,0.4,1.37E+01,67,430.3173
10287,tgb,412317,7901279,0,bird,19.9,1.11,28.9,10.2,1898,100,105,18.9,32,0.4,7.55E+00,0,350.6922
10050,tgb,314792,8165890,0,bird,19.4,0.95,27.8,10.5,1805,88,110,18.9,38,0.32,3.49E+00,50,359.7902
10294,tgb,416416,7897779,0,bird,19.4,1.12,28.5,9.900001,2299,98,133,18.6,23,0.55,8.46E+00,21,189.119
10295,tgb,407516,7897679,0,bird,19.4,1.13,28.7,9.7,2028,98,116,18.7,28,0.47,3.49E+00,47,95.32051
10296,tgb,413215,7897679,0,bird,19.3,1.12,28.5,9.7,2259,98,132,18.6,23,0.55,0.00E+00,100,528.5045
10298,tgb,406816,7897279,0,bird,19.6,1.13,28.8,9.8,1916,99,108,18.8,30,0.43,6.64E+00,67,241.4622
