siteid,spid,x,y,occ,group,bc01,bc04,bc05,bc06,bc12,bc15,bc17,bc20,bc31,bc33,slope,topo,tri
10009,tgb,349275.8,8123752,0,plant,21.6,0.91,29.9,12.2,1478,98,70,19.3,54,0.17,10.90166,70,437.2322
10099,tgb,346214.9,8059180,0,plant,17.9,1.02,26.9,8.900001,2670,70,228,18.1,9,0.83,19.36511,0,871.6656
10100,tgb,367469.2,8055646,0,plant,21.4,0.95,29.7,12.1,3101,72,264,18,13,0.75,12.35445,48,291.8664
10101,tgb,376366.2,8046474,0,plant,22.2,0.94,30.2,13,3276,76,275,17.9,12,0.77,33.70975,18,496.1209
10102,tgb,342809,8042553,0,plant,18.8,1.03,27.9,9.2,1836,78,132,18.8,24,0.54,30.0091,55,438.3184
10103,tgb,422636.2,7971103,0,plant,21.1,0.98,28.9,12.5,2625,88,178,18.3,22,0.58,42.97336,0,1837.288
10104,tgb,368154.6,7954206,0,plant,20.9,1.07,30,10.7,1274,93,82,19.5,45,0.25,6.35737,20,139.5027
10105,tgb,332682.7,8202937,0,plant,23.7,0.8,30.3,16.4,3183,83,211,18.1,28,0.46,32.22807,28,960.1
10106,tgb,307912.7,8182447,0,plant,17.6,0.97,26.2,9.5,2641,79,204,18.2,18,0.66,18.24762,47,436.4287
10107,tgb,319917.9,8239719,0,plant,23.4,0.82,30,16,2236,94,110,18.7,48,0.22,1.045234,0,236.9177
10108,tgb,325387.7,8225012,0,plant,21.2,0.88,28.3,13.8,2601,84,183,18.4,30,0.43,27.57152,39,845.0189
10010,tgb,349302.3,8120067,0,plant,21.6,0.92,29.9,12.1,1450,99,68,19.3,55,0.16,35.25767,24,814.3568
10109,tgb,334355.8,8217700,0,plant,23,0.82,29.6,15.9,3061,83,204,18.2,29,0.45,38.61618,60,1404.66
10110,tgb,332584.3,8215849,0,plant,23.7,0.8,30.2,16.6,3364,83,221,18,28,0.47,35.70183,61,909.8428
10111,tgb,330837.1,8212140,0,plant,24.5,0.78,30.9,17.2,3483,84,221,18,29,0.44,0,50,74.02027
10112,tgb,330893.9,8204771,0,plant,24.3,0.78,30.8,17,3311,84,212,18.1,30,0.43,6.066594,8,427.0269
10113,tgb,313326.8,8175113,0,plant,18.5,0.96,27,10,2261,82,161,18.5,26,0.5,16.48794,0,703.7457
10114,tgb,316912.8,8171458,0,plant,17.9,0.96,26.4,9.7,2602,79,198,18.3,19,0.64,0.5216929,100,995.6541
10115,tgb,325815.4,8171532,0,plant,22.6,0.88,30,13.9,1590,99,74,19.2,57,0.16,20.34278,49,713.1816
10116,tgb,327587.5,8171546,0,plant,22.6,0.87,30,13.9,1635,98,77,19.2,55,0.17,31.55061,39,958.0908
10117,tgb,327602.3,8169699,0,plant,22.1,0.89,29.7,13.3,1575,98,76,19.2,55,0.17,0,50,42.81355
10118,tgb,331181.8,8167879,0,plant,22.2,0.88,29.8,13.6,1629,97,80,19.2,54,0.18,12.26258,100,376.2964
10011,tgb,347656.7,8103456,0,plant,19.7,0.95,28.4,10.6,1583,90,90,19.1,40,0.28,20.81027,0,1037.734
10119,tgb,313406.9,8165894,0,plant,19.8,0.95,28.2,10.7,1639,91,93,19.1,44,0.25,49.81203,100,1305.169
10120,tgb,315188.4,8165910,0,plant,19.4,0.95,27.8,10.5,1829,88,113,18.9,37,0.33,10.02607,13,649.0793
10121,tgb,322296.1,8165970,0,plant,22.1,0.9,29.9,13,1361,102,58,19.4,62,0.13,0,0,44.98889
10122,tgb,331196.3,8166042,0,plant,22.4,0.88,29.9,13.7,1585,99,75,19.2,56,0.16,15.96831,14,321.8944
10123,tgb,340223.3,8147664,0,plant,22.1,0.9,30,12.9,1469,99,69,19.3,57,0.15,16.321,0,818.2078
10124,tgb,354485.4,8140387,0,plant,22.7,0.86,30.2,14.1,1950,93,107,18.9,46,0.23,5.481106,0,185.5074
