siteid,spid,x,y,occ,group,alt,asp2,ontprec,ontprec4,ontprecsd,ontslp,onttemp,onttempsd,onttmin4,ontveg,watdist
10009,tgb,-80.24979,44.08339,0,bird,497,-4.64E-01,948,65,11,0.1847665,41,9845,-9,2,742814.9
10099,tgb,-84.96269,48.48278,0,bird,455,-7.38E-01,886,53,20,0.6384252,-10,11698,-60,2,401792.8
10999,tgb,-80.97634,46.48932,0,bird,288,-1.71E-01,900,59,17,0.2395831,25,11318,-24,5,486803.6
11000,tgb,-79.62236,45.678,0,bird,288,8.85E-02,1112,69,15,0.4594241,34,10846,-14,2,563420.5
11001,tgb,-93.68715,52.88641,0,bird,288,-9.49E-01,612,30,47,0.04278775,-26,14338,-66,3,455585.6
11002,tgb,-77.90261,45.97663,0,bird,288,-9.73E-01,894,59,19,0.7083793,25,11526,-23,2,540812.9
11003,tgb,-78.81401,44.10893,0,bird,288,7.92E-01,841,60,11,0.3667502,53,9995,5,4,737938.9
11004,tgb,-79.64327,45.27548,0,bird,287,-8.99E-01,1136,70,16,0.8718944,39,10545,-11,2,608097.6
11005,tgb,-79.88303,43.82991,0,bird,287,7.07E-01,871,63,12,0.2181745,57,9843,4,4,769888.9
11006,tgb,-79.85435,43.95525,0,bird,287,-8.57E-01,871,62,12,0.7812374,55,9875,3,2,754278.1
11007,tgb,-79.93346,48.51993,0,bird,287,5.35E-01,853,46,26,0.4152246,-5,12697,-55,2,251000.6
11008,tgb,-79.59977,43.93339,0,bird,287,-9.77E-01,840,59,13,0.7290531,56,9914,5,4,756453.5
10100,tgb,-91.6661,49.41779,0,bird,455,-8.56E-01,810,49,31,0.5293419,-7,13225,-47,5,756072.3
11009,tgb,-79.88121,43.76993,0,bird,287,-8.32E-01,871,64,13,0.3852238,57,9821,5,4,775704.9
11010,tgb,-79.6358,45.65571,0,bird,287,-8.30E-02,1115,69,15,0.6123403,35,10829,-14,2,565384.6
11011,tgb,-84.77795,47.97524,0,bird,287,2.02E-01,1014,54,20,1.131435,8,11112,-43,4,436486.5
11012,tgb,-81.03225,46.68318,0,bird,286,7.07E-01,884,58,18,0.3156178,22,11498,-27,2,468023.7
11013,tgb,-80.90196,42.9966,0,bird,286,8.65E-01,996,81,12,0.2038857,61,9650,8,4,868993.2
11014,tgb,-80.3054,43.27071,0,bird,286,-2.89E-01,956,78,12,0.9813925,60,9719,7,4,834066.8
11015,tgb,-79.25539,45.24913,0,bird,286,-3.83E-01,1088,70,14,1.272851,38,10642,-12,3,610673.4
11016,tgb,-80.90206,42.96396,0,bird,286,-9.68E-01,998,82,12,0.4183252,62,9613,8,4,871880.7
11017,tgb,-79.48487,44.073,0,bird,286,6.46E-01,844,57,13,0.804124,54,9967,3,4,740768.6
11018,tgb,-77.5473,44.68666,0,bird,286,-2.54E-01,880,66,10,0.2527083,42,10563,-6,2,686217.6
10101,tgb,-83.03919,47.56704,0,bird,455,-6.59E-01,862,47,22,0.2129286,2,11765,-49,2,412281.4
11019,tgb,-79.63219,45.63413,0,bird,286,-7.26E-01,1119,70,15,0.6538399,35,10797,-15,3,568295.2
11020,tgb,-78.82417,44.11243,0,bird,286,9.00E-01,841,60,11,0.3667502,53,10006,5,4,737903.1
11021,tgb,-91.89039,52.89441,0,bird,285,1.00E+00,661,34,45,0,-32,14249,-77,3,445681.5
11022,tgb,-79.58109,43.91395,0,bird,285,-9.43E-01,838,59,13,0.5943146,56,9892,5,4,758363.8
11023,tgb,-78.81641,44.11671,0,bird,285,9.67E-01,841,60,11,0.3573812,53,10016,5,4,736969.4
11024,tgb,-79.6913,45.62705,0,bird,285,-7.74E-01,1124,70,15,0.4651312,35,10788,-14,2,569449.9
11025,tgb,-79.7074,44.39462,0,bird,285,-6.18E-01,921,60,11,1.038472,50,9997,-1,4,706268.5
11026,tgb,-80.89511,42.99819,0,bird,285,4.23E-01,996,81,12,0.2596446,61,9650,8,4,867941.1
11027,tgb,-79.84992,43.95991,0,bird,285,-1.00E+00,869,61,12,0.6648629,55,9872,3,2,754245.2
11028,tgb,-78.92736,44.02662,0,bird,285,-9.99E-01,834,60,12,1.444263,55,9944,6,4,747245.8
10102,tgb,-78.8804,45.71708,0,bird,454,-9.55E-01,1018,66,15,0.6269373,21,11061,-29,3,559299.8
11029,tgb,-80.92989,42.9749,0,bird,285,-4.74E-01,999,81,12,0.4094793,62,9621,8,4,871280.8
11030,tgb,-79.71067,45.66132,0,bird,285,-2.70E-01,1120,69,15,1.347276,35,10812,-14,2,565629.9
11031,tgb,-78.1548,44.08623,0,bird,284,-9.95E-01,844,65,10,1.402226,50,10012,1,2,745272.8
11032,tgb,-78.7238,44.92563,0,bird,284,-4.17E-01,993,66,11,0.9433024,40,10587,-9,4,648270.9
11033,tgb,-81.09559,44.29855,0,bird,284,-5.30E-01,1068,69,13,0.1083447,53,9486,1,4,727295.4
11034,tgb,-78.42963,44.53083,0,bird,284,-7.42E-01,888,63,10,0.1542731,45,10368,-2,4,693688.2
11035,tgb,-81.2772,49.19402,0,bird,284,-8.89E-01,918,47,22,0.5814936,-10,12778,-64,2,204704.7
11036,tgb,-78.96392,44.08478,0,bird,284,9.28E-01,838,59,12,0.134908,54,9987,5,4,740318.4
11037,tgb,-79.77646,45.66139,0,bird,284,2.75E-01,1125,69,16,0.3276709,36,10795,-14,2,565862.3
11038,tgb,-80.90709,42.9947,0,bird,284,7.93E-01,996,81,12,0.3449617,62,9630,8,4,869083.3
10103,tgb,-78.57193,45.66891,0,bird,454,-9.46E-01,977,64,15,0.5650584,20,11119,-30,2,566977.8
11039,tgb,-81.38816,44.20532,0,bird,284,8.71E-01,1062,67,15,0.04640983,54,9438,2,4,742110.3
11040,tgb,-81.28843,44.07588,0,bird,284,-3.77E-01,1082,69,13,0.249923,55,9517,2,4,754958.5
11041,tgb,-80.28311,47.08338,0,bird,284,3.05E-01,876,54,18,0.256305,17,11939,-31,3,412398.5
11042,tgb,-79.83312,43.95005,0,bird,284,-8.48E-01,864,61,12,0.363802,55,9871,3,4,755150.7
11043,tgb,-81.51707,43.79292,0,bird,284,-9.10E-01,1064,69,12,0.6216769,57,9545,4,4,788893
11044,tgb,-77.19182,44.89878,0,bird,284,-7.78E-02,868,65,10,0.360979,40,10808,-7,3,669300.6
11045,tgb,-78.86346,44.0166,0,bird,283,-8.53E-01,832,60,12,1.641502,55,9920,6,4,748431.6
11046,tgb,-79.68298,44.48172,0,bird,283,-9.50E-01,944,60,12,1.502432,49,10041,-2,4,695525.9
11047,tgb,-88.09387,49.30311,0,bird,283,-5.21E-01,830,39,29,4.85612,-6,12321,-57,2,542115.6
11048,tgb,-81.31828,43.09727,0,bird,283,-9.90E-01,1006,78,10,0.0328167,61,9644,8,4,862387.1
10104,tgb,-90.29516,48.6522,0,bird,454,-9.95E-01,752,41,39,0.6165462,0,12181,-51,3,716601.4
11049,tgb,-79.81151,47.32766,0,bird,283,-8.32E-01,877,52,20,0.200423,14,12094,-33,5,381014.5
11050,tgb,-80.03902,43.40067,0,bird,283,-9.70E-01,913,72,12,0.4202514,61,9734,7,4,817088.7
11051,tgb,-80.50263,43.19872,0,bird,283,1.68E-01,975,80,12,0.2938857,61,9718,7,4,842212.4
11052,tgb,-80.52203,43.17084,0,bird,283,-1.00E+00,977,81,11,0.1441693,61,9715,7,4,846281.9
11053,tgb,-81.36204,44.13194,0,bird,283,-9.96E-01,1074,68,14,0.060511,54,9485,2,2,749325.9
11054,tgb,-80.34348,43.25928,0,bird,283,-2.75E-02,959,78,12,0.6980441,61,9721,7,4,835266.8
11055,tgb,-79.64497,45.65851,0,bird,283,-1.00E+00,1116,69,15,0.6123403,35,10822,-15,2,565408.8
11056,tgb,-78.99067,44.39791,0,bird,282,-1.64E-02,898,60,11,0.2285407,49,10192,0,4,705317.8
11057,tgb,-78.47925,44.22395,0,bird,282,3.55E-01,845,62,10,0.3140787,50,10093,2,4,727280.8
11058,tgb,-80.98469,46.42908,0,bird,282,-3.55E-01,906,60,16,0.4633916,27,11233,-22,5,494509.9
