siteid,spid,x,y,occ,group,disturb,mi,rainann,rugged,soildepth,soilfert,solrad,tempann,topo,vegsys,cti,raindq,tempmin
10009,tgb,151.3115,-32.1723,0,ba,3,88,1334,42,1110,2,84,138,-2,1,1269,270,-3
10099,tgb,153.3108,-28.5664,0,ba,1,93,2038,72,1169,5,85,184,-25,1,1949,216,57
10100,tgb,153.3112,-28.5732,0,ba,1,91,2114,78,1100,5,90,184,-50,2,1299,222,59
10101,tgb,153.3212,-28.6138,0,ba,3,93,2106,40,1129,2,86,173,10,2,1179,252,58
10102,tgb,153.3232,-28.6133,0,ba,3,93,2106,37,1129,2,86,173,9,2,1189,252,59
10103,tgb,153.3274,-28.6377,0,ba,2,91,1894,20,1220,4,88,182,-5,1,1279,222,59
10104,tgb,153.3274,-28.6278,0,ba,2,92,2050,25,1009,2,81,176,6,1,1149,246,60
10105,tgb,153.3274,-28.6273,0,ba,3,92,2052,23,1090,2,84,176,23,2,1109,246,60
10106,tgb,153.3325,-28.6259,0,ba,2,92,1994,21,1100,2,85,179,1,1,1229,228,60
10107,tgb,153.333,-28.6259,0,ba,2,92,1994,21,1100,2,85,178,16,1,1119,228,60
10108,tgb,153.3335,-28.6332,0,ba,2,92,1928,22,1210,4,88,183,-8,1,1389,222,58
10010,tgb,151.4383,-31.511,0,ba,2,80,1022,23,1090,4,88,110,9,3,1189,234,-7
10109,tgb,153.3366,-28.6313,0,ba,2,92,1940,20,1159,2,88,181,12,1,1229,222,60
10110,tgb,153.3371,-28.4797,0,ba,3,92,2122,32,1039,2,86,175,24,2,1109,228,60
10111,tgb,153.3377,-28.4905,0,ba,3,92,2148,45,1120,2,88,177,9,2,1139,228,59
10112,tgb,153.3392,-28.4896,0,ba,3,91,2152,37,1120,2,91,179,-4,2,1219,228,60
10113,tgb,153.3416,-28.5889,0,ba,3,94,2526,67,1100,2,78,168,-2,2,1269,330,57
10114,tgb,153.3548,-28.5735,0,ba,2,94,2854,69,1120,2,72,162,11,2,1319,348,56
10115,tgb,153.3618,-29.4111,0,ba,1,81,1518,3,1320,1,89,189,2,5,1379,240,76
10116,tgb,153.3638,-29.4021,0,ba,1,82,1556,2,1320,1,89,189,0,1,1539,252,75
10117,tgb,153.3638,-29.4012,0,ba,1,82,1560,2,1320,1,88,189,0,1,1419,252,75
10118,tgb,153.3638,-29.4003,0,ba,1,82,1560,2,1320,1,88,189,0,3,1439,252,75
10011,tgb,151.451,-32.1353,0,ba,3,92,1712,81,1070,2,85,130,-4,2,1219,318,-12
10119,tgb,153.3669,-29.4003,0,ba,4,81,1562,4,1139,4,88,190,-2,5,1312,252,77
10120,tgb,153.3671,-28.5834,0,ba,2,94,2566,57,1129,2,82,167,-15,2,1379,342,58
10121,tgb,153.3733,-28.5978,0,ba,3,93,2448,6,1169,2,87,169,2,2,1449,336,59
10122,tgb,153.3846,-28.5969,0,ba,2,91,2256,83,1049,2,94,184,-26,2,1419,258,60
10123,tgb,153.397,-29.1836,0,ba,1,85,1678,14,1320,1,88,190,18,5,1199,264,74
10124,tgb,153.3975,-29.1709,0,ba,1,84,1636,9,1159,2,88,191,15,3,1199,258,75
10125,tgb,153.4002,-29.1998,0,ba,1,84,1634,5,1330,1,88,193,-2,5,1312,264,78
10126,tgb,153.4011,-29.1863,0,ba,1,85,1664,13,1309,1,87,190,14,5,1189,264,75
10127,tgb,153.405,-28.8667,0,ba,4,87,1766,6,1179,4,88,184,-2,7,1439,252,62
10128,tgb,153.4468,-28.7438,0,ba,4,84,1562,18,1129,5,89,197,-4,7,2009,228,79
10012,tgb,151.5667,-32.06,0,ba,1,94,2246,78,1120,4,82,101,17,2,1179,444,-10
10129,tgb,153.4486,-28.7457,0,ba,4,85,1582,16,1159,4,89,196,-5,9,1829,228,78
10130,tgb,153.5285,-28.5522,0,ba,3,90,1816,5,1179,4,89,199,0,5,1312,246,83
10131,tgb,153.5333,-28.4836,0,ba,3,91,1768,6,1340,1,88,199,1,5,1379,222,84
10132,tgb,153.5346,-28.5486,0,ba,3,91,1814,2,1370,1,88,198,-1,5,1269,252,84
10133,tgb,153.5347,-28.5495,0,ba,3,91,1812,4,1370,1,89,198,-1,5,1489,252,84
10134,tgb,153.5356,-28.5413,0,ba,4,91,1808,1,1360,1,88,198,0,9,1089,246,84
10135,tgb,153.5388,-28.5549,0,ba,3,90,1806,15,1179,2,89,198,-6,5,1419,246,83
10136,tgb,153.597,-28.7288,0,ba,3,87,1762,19,1179,2,88,196,4,1,1199,294,82
10137,tgb,153.5999,-28.6954,0,ba,3,90,1902,23,1139,2,86,196,-11,2,1409,312,83
10138,tgb,153.6001,-28.7333,0,ba,3,87,1752,18,1179,2,88,192,16,1,1179,294,78
10013,tgb,151.5688,-32.0601,0,ba,1,93,2270,97,1039,4,84,104,23,2,1149,456,-8
10139,tgb,153.6053,-28.6974,0,ba,2,89,1848,16,1169,2,87,197,-1,5,1289,300,84
10140,tgb,153.6056,-28.6958,0,ba,3,89,1854,14,1169,2,88,197,-2,5,1459,300,84
10141,tgb,153.6103,-28.7177,0,ba,3,89,1866,21,1090,2,84,192,5,1,1189,306,77
10142,tgb,153.6105,-28.7219,0,ba,3,89,1804,20,1100,2,84,194,-17,1,1189,306,81
10143,tgb,153.6105,-28.7196,0,ba,3,90,1832,20,1100,2,84,191,31,1,1109,306,76
10144,tgb,153.6113,-28.7206,0,ba,3,90,1832,20,1100,2,84,190,18,1,1139,306,76
10145,tgb,153.6123,-28.7197,0,ba,1,88,1778,22,1080,2,85,193,20,1,1099,294,79
10146,tgb,153.6123,-28.7116,0,ba,1,88,1772,18,1159,2,89,194,6,1,1169,294,81
10147,tgb,153.6123,-28.7107,0,ba,1,88,1772,18,1159,2,89,193,19,1,1159,294,79
10014,tgb,151.5968,-32.0992,0,ba,1,95,2166,51,1129,4,83,111,-14,2,1799,420,-7
10015,tgb,151.5969,-32.0973,0,ba,1,95,2190,52,1139,4,73,110,-5,4,1689,426,-6
10016,tgb,151.6142,-31.7178,0,ba,3,83,932,90,959,2,65,131,5,1,1129,162,-16
10017,tgb,151.6161,-31.6601,0,ba,3,56,782,53,939,2,96,154,25,3,1099,120,16
10018,tgb,151.6522,-32.585,0,ba,3,76,1142,35,939,3,81,165,7,3,1159,198,51
10001,tgb,151.1601,-31.6281,0,ba,1,89,1318,18,1090,4,86,102,2,3,1559,312,-10
10019,tgb,151.6585,-32.5896,0,ba,3,76,1122,35,1100,2,88,166,-4,3,1209,198,51
10020,tgb,151.7621,-32.1063,0,ba,3,93,1678,82,1059,2,83,123,2,1,1249,276,-18
10021,tgb,151.8352,-31.6009,0,ba,3,93,1442,42,1080,2,82,121,6,1,1189,234,-16
10022,tgb,151.8497,-31.6182,0,ba,3,93,1422,37,1090,2,87,125,-6,2,1219,222,-21
10023,tgb,152.0503,-32.2076,0,ba,3,82,1206,38,1049,2,86,169,-22,2,2019,192,55
10024,tgb,152.0526,-32.1949,0,ba,3,81,1208,26,1080,2,86,169,-14,2,1869,186,59
10025,tgb,152.0662,-32.209,0,ba,3,84,1258,55,1070,2,82,166,-28,2,1509,198,55
10026,tgb,152.0698,-32.2194,0,ba,3,82,1216,39,1110,2,88,170,-24,2,1819,192,57
10027,tgb,152.0699,-30.8846,0,ba,3,82,880,95,939,2,76,137,46,3,1069,120,-13
10028,tgb,152.1142,-31.2995,0,ba,1,94,1540,30,1070,2,82,121,13,2,1179,210,-6
10002,tgb,151.1738,-31.6301,0,ba,1,88,1298,35,1059,4,89,103,18,3,1189,306,-9
10029,tgb,152.1664,-29.2429,0,ba,3,88,1226,24,1100,2,87,138,-13,3,1649,180,7
10030,tgb,152.1843,-28.8071,0,ba,2,85,1170,46,930,1,84,143,17,2,1179,186,14
10031,tgb,152.1879,-31.5278,0,ba,3,90,1188,22,1100,2,86,151,-17,2,1989,168,15
10032,tgb,152.2383,-32.3175,0,ba,3,83,1346,24,1100,2,84,168,-22,2,1729,234,46
10033,tgb,152.3064,-29.7031,0,ba,3,87,1454,24,1059,2,88,154,-7,2,1739,198,9
