siteid,spid,x,y,occ,group,disturb,mi,rainann,rugged,soildepth,soilfert,solrad,tempann,topo,vegsys,cti,raindq,tempmin
10010,tgb,151.2924,-32.1721,0,db,2,91,1402,41,1070,2,80,126,8,1,1219,288,-15
10112,tgb,152.0802,-32.1879,0,db,3,80,1144,34,1120,2,90,170,-17,2,1779,186,58
10147,tgb,152.4399,-30.9544,0,db,1,86,1274,67,1009,3,88,169,-24,4,1269,162,51
10148,tgb,152.4409,-30.5971,0,db,3,91,1768,98,1029,2,92,142,-10,2,1249,246,-8
10149,tgb,152.4556,-28.451,0,db,3,81,1156,33,1059,2,94,156,18,1,1129,162,37
10150,tgb,152.4589,-31.8378,0,db,2,83,1182,7,1090,2,86,172,0,3,1329,180,43
10151,tgb,152.4629,-28.4258,0,db,1,85,1262,26,1129,4,89,147,14,1,1179,174,26
10152,tgb,152.4684,-30.5178,0,db,1,90,1564,75,1009,2,75,157,43,2,1099,216,21
10153,tgb,152.4686,-31.2496,0,db,1,94,1784,58,1139,2,81,155,-32,2,1429,234,24
10157,tgb,152.4832,-32.4,0,db,3,81,1324,12,1240,1,85,169,-4,9,1429,270,51
10158,tgb,152.4887,-28.5766,0,db,2,82,1180,29,1000,4,84,165,3,2,1229,162,44
10159,tgb,152.4969,-28.5821,0,db,3,82,1210,40,1070,4,90,160,15,2,1189,168,40
10113,tgb,152.0855,-28.8498,0,db,2,77,1022,14,1080,1,91,138,-5,3,1319,174,12
10160,tgb,152.5,-32.4334,0,db,1,81,1334,9,1289,1,86,168,0,5,1799,282,52
10163,tgb,152.5825,-31.1418,0,db,1,91,1426,16,1139,2,86,178,-8,2,1679,180,69
10164,tgb,152.5908,-30.4118,0,db,1,94,1910,88,970,2,71,143,38,1,1069,270,-8
10165,tgb,152.5913,-31.2753,0,db,3,91,1496,30,1059,2,89,176,4,2,1379,198,71
10167,tgb,152.6095,-30.4209,0,db,1,90,1832,85,1019,2,85,163,27,2,1029,258,36
10178,tgb,152.72,-28.4997,0,db,2,88,1484,31,1139,2,88,169,-7,2,1359,186,45
10182,tgb,152.7238,-30.1586,0,db,3,87,1444,26,1080,2,88,150,6,2,1219,216,2
10183,tgb,152.7314,-28.8454,0,db,3,75,1166,18,1049,2,91,181,-10,2,2069,138,45
10185,tgb,152.7349,-28.7789,0,db,2,86,1496,23,1029,5,88,163,16,1,1169,180,45
10186,tgb,152.7387,-28.8102,0,db,2,86,1400,33,1120,5,88,167,-19,1,1629,168,46
10114,tgb,152.0859,-29.4996,0,db,2,84,1102,12,1080,2,91,136,-2,3,1359,174,2
10187,tgb,152.7387,-28.803,0,db,3,88,1464,23,1100,5,86,163,11,1,1219,180,44
10188,tgb,152.7398,-30.386,0,db,2,92,2130,100,990,2,78,153,4,1,1279,312,15
10189,tgb,152.7476,-28.9149,0,db,4,80,1200,44,1039,2,88,173,-19,9,1339,144,46
10191,tgb,152.7578,-30.239,0,db,3,90,1562,31,1090,2,84,146,7,2,1219,240,-3
10193,tgb,152.7787,-29.7526,0,db,3,65,1050,32,1049,1,91,189,-20,3,1639,138,63
10194,tgb,152.7846,-29.8834,0,db,3,66,1048,26,1080,2,90,187,-18,3,1409,132,64
10195,tgb,152.8118,-30.2697,0,db,1,88,1642,58,1070,2,81,151,36,2,1079,246,9
10200,tgb,152.872,-31.1523,0,db,2,87,1390,7,1120,2,87,181,-1,3,1359,210,59
10201,tgb,152.8833,-31.2,0,db,3,88,1464,5,1120,3,87,181,0,3,1749,216,59
10202,tgb,152.8944,-29.898,0,db,4,71,1120,18,1070,1,89,187,-2,9,1409,144,67
10115,tgb,152.0872,-29.8164,0,db,3,76,1004,23,1019,2,95,132,-6,3,1479,150,1
10204,tgb,152.9519,-30.7887,0,db,3,84,1410,30,1129,2,92,185,-13,2,1449,216,80
10207,tgb,152.9753,-29.0434,0,db,3,65,962,4,1070,2,91,193,0,3,1389,120,63
10208,tgb,152.9755,-28.3393,0,db,1,83,1252,62,1049,5,96,171,-27,2,1669,150,49
10210,tgb,152.9834,-29.9414,0,db,4,74,1208,11,1100,1,89,187,-5,9,1199,156,68
10212,tgb,153.0333,-30.4296,0,db,2,84,1624,9,1159,2,87,186,0,2,1289,240,71
10213,tgb,153.0633,-28.388,0,db,1,93,2006,39,1139,4,84,146,-10,1,1389,252,32
10215,tgb,153.0998,-30.2608,0,db,2,86,1790,37,1129,3,94,181,-29,2,1509,210,77
10216,tgb,153.1116,-28.7265,0,db,2,84,1296,30,1059,5,89,184,22,2,1119,156,49
10217,tgb,153.1147,-28.7247,0,db,2,85,1320,26,1049,5,88,187,-12,2,1329,156,53
10218,tgb,153.1175,-28.4972,0,db,2,90,1934,53,1090,4,92,167,0,2,1249,222,54
10116,tgb,152.0901,-29.4978,0,db,3,84,1108,13,1100,2,90,136,-7,3,1359,168,2
10219,tgb,153.1208,-28.7256,0,db,2,83,1236,22,1100,5,90,190,-20,2,1729,150,58
10220,tgb,153.1318,-28.4611,0,db,3,94,2818,62,1129,4,73,133,12,1,1159,360,23
10221,tgb,153.1389,-28.4521,0,db,1,94,2516,125,1149,4,80,138,47,1,1139,300,25
10222,tgb,153.143,-28.4412,0,db,1,93,2218,146,1029,4,92,153,44,2,979,246,41
10223,tgb,153.1451,-29.9458,0,db,2,78,1358,20,1090,2,90,186,3,3,1239,138,74
10225,tgb,153.155,-29.6498,0,db,2,82,1384,41,1080,1,83,187,-9,3,1319,210,72
10227,tgb,153.1663,-29.6471,0,db,2,82,1394,10,1139,2,88,188,-7,3,1589,216,72
10228,tgb,153.178,-29.7905,0,db,2,80,1318,28,1049,2,88,186,-15,3,1669,174,73
10229,tgb,153.1966,-29.7851,0,db,3,77,1272,10,1129,2,89,187,-8,3,1739,174,73
10230,tgb,153.2027,-29.7607,0,db,3,79,1312,7,1139,2,89,187,-5,3,1499,186,73
10117,tgb,152.0947,-31.4695,0,db,1,91,1188,32,1039,2,84,148,-13,2,1309,150,9
10231,tgb,153.2378,-28.3851,0,db,2,90,1814,61,1110,2,94,173,0,2,1359,198,57
10232,tgb,153.2756,-28.404,0,db,1,94,2270,147,949,2,72,160,5,1,1259,246,56
10233,tgb,153.2828,-28.4013,0,db,1,91,1932,71,1110,4,96,168,-31,2,1529,222,57
10234,tgb,153.2838,-28.3995,0,db,1,92,1898,66,1120,4,90,169,-26,2,1629,216,56
10236,tgb,153.2895,-29.3499,0,db,1,82,1526,3,1129,2,89,190,3,3,1409,228,73
10237,tgb,153.3623,-28.3767,0,db,2,94,2064,71,1009,2,81,169,16,2,1139,240,58
10238,tgb,153.3658,-29.3741,0,db,1,83,1608,3,1340,1,88,189,1,2,1379,258,76
10239,tgb,153.3671,-28.5834,0,db,2,94,2566,57,1129,2,82,167,-15,2,1379,342,58
10244,tgb,153.3785,-28.6159,0,db,3,93,2322,19,1129,2,83,170,0,2,1379,318,59
10246,tgb,153.3831,-28.4669,0,db,3,94,2094,70,1059,2,81,182,-24,2,1259,228,61
10118,tgb,152.0949,-30.1079,0,db,3,68,876,38,1019,2,93,129,10,3,1159,132,0
10250,tgb,153.3938,-28.6158,0,db,1,92,2058,54,1129,2,89,178,21,2,1109,234,61
10251,tgb,153.3999,-28.5978,0,db,3,92,2020,24,1200,5,88,192,-16,7,1889,252,69
10004,tgb,151.1996,-31.6007,0,db,1,81,1152,57,1029,4,86,118,-3,3,1209,276,-9
10019,tgb,151.3493,-32.0772,0,db,2,89,1386,57,1019,2,92,129,7,2,1299,282,-14
10027,tgb,151.3857,-31.9352,0,db,3,94,1506,24,1029,2,85,100,0,4,1249,324,-11
10038,tgb,151.5065,-31.9827,0,db,1,94,1920,48,1029,4,80,101,4,4,1189,396,-10
10039,tgb,151.5208,-32.1506,0,db,1,90,1608,26,1149,3,88,164,-16,1,2239,228,43
10048,tgb,151.5886,-32.0837,0,db,1,95,2182,26,1230,4,82,106,-5,4,1249,426,-7
10050,tgb,151.5985,-31.9179,0,db,1,88,1230,75,930,2,80,135,19,2,1059,216,-9
10063,tgb,151.6685,-32.1243,0,db,1,93,1810,94,1029,3,69,120,29,1,1099,318,-15
10119,tgb,152.097,-31.4532,0,db,1,91,1142,55,990,2,80,151,-22,2,1299,150,14
10076,tgb,151.8,-31.7999,0,db,1,82,996,138,899,2,79,152,16,2,1129,126,16
10091,tgb,151.9996,-31.6005,0,db,2,94,1544,23,1070,2,84,124,-4,2,1419,216,-21
10092,tgb,152.0029,-32.1815,0,db,3,82,1298,47,920,2,90,168,-8,2,1169,198,58
10163,tgb,152.1594,-31.303,0,db,1,94,1470,130,1009,2,72,143,38,2,1099,174,-3
10180,tgb,152.1705,-31.2264,0,db,1,94,1462,15,1129,2,86,122,9,2,1199,186,-5
10191,tgb,152.1763,-29.6782,0,db,3,92,1504,43,1000,2,74,128,14,2,1169,222,5
10215,tgb,152.1869,-31.526,0,db,3,89,1176,26,1120,2,87,149,-7,2,1689,162,13
10224,tgb,152.1913,-30.6355,0,db,2,92,1480,15,1090,2,88,127,4,2,1289,222,-7
