siteid,spid,x,y,occ,group,disturb,mi,rainann,rugged,soildepth,soilfert,solrad,tempann,topo,vegsys,cti,raindq,tempmin
10010,tgb,151.2667,-31.05,0,ou,4,52,744,41,959,2,79,147,21,9,1139,162,-4
10107,tgb,152.05,-29.6667,0,ou,2,83,1054,23,1000,1,90,132,9,3,1259,162,3
10109,tgb,152.05,-29.6333,0,ou,4,86,1092,16,1070,1,86,130,-2,9,1519,168,3
10110,tgb,152.05,-28.7667,0,ou,4,70,940,5,1080,1,92,140,-3,9,1459,174,14
10111,tgb,152.0611,-29.3458,0,ou,2,88,1182,17,1120,2,91,130,6,3,1219,192,7
10112,tgb,152.0833,-31.4,0,ou,1,92,1306,24,1120,2,88,135,-12,2,1629,150,-12
10113,tgb,152.0833,-30.5833,0,ou,4,74,872,16,1049,2,90,128,-1,9,1369,138,-12
10114,tgb,152.0833,-28.75,0,ou,2,71,952,6,1080,1,92,142,1,3,1419,174,15
10115,tgb,152.0833,-28.6833,0,ou,4,74,990,17,1059,1,92,143,-3,9,1429,180,16
10116,tgb,152.0833,-28.65,0,ou,4,67,902,9,1080,1,94,146,1,9,1339,162,18
10118,tgb,152.1167,-32.2667,0,ou,3,92,1652,44,1090,2,85,140,5,2,1199,270,6
10011,tgb,151.3333,-32.1833,0,ou,3,91,1384,93,1039,2,79,134,3,2,1319,270,-8
10119,tgb,152.1167,-30.5833,0,ou,4,80,942,9,1059,2,90,128,-3,9,1429,144,-10
10120,tgb,152.1333,-30.6333,0,ou,1,83,1086,120,939,2,91,130,0,2,1199,162,-17
10121,tgb,152.1333,-28.9667,0,ou,3,73,976,32,1070,1,90,141,44,3,1079,156,11
10122,tgb,152.15,-29.5667,0,ou,4,80,1050,9,1029,1,89,142,-6,9,2069,150,2
10123,tgb,152.15,-28.5333,0,ou,4,60,834,13,1039,1,92,159,8,9,1259,138,35
10124,tgb,152.1667,-31.8833,0,ou,4,73,960,17,1039,2,88,171,-4,9,1279,132,37
10127,tgb,152.1833,-30.5,0,ou,3,83,962,8,1070,1,89,125,1,3,1409,144,0
10128,tgb,152.1833,-29.5833,0,ou,3,87,1300,23,1029,1,90,136,-10,3,1379,186,1
10130,tgb,152.2,-32.3833,0,ou,4,80,1324,2,1110,2,85,171,0,9,1459,240,47
10132,tgb,152.2,-29.75,0,ou,4,61,944,14,980,1,94,173,-1,9,1269,138,40
10012,tgb,151.3333,-32.1667,0,ou,1,91,1412,89,1039,2,82,129,-3,2,1459,276,-13
10133,tgb,152.2,-28.4667,0,ou,3,57,808,33,1039,1,94,168,-12,9,1309,132,37
10134,tgb,152.2167,-30.4333,0,ou,2,91,1152,29,1070,1,88,98,9,6,1149,168,-7
10135,tgb,152.2167,-30.0167,0,ou,3,56,744,96,910,2,88,161,-34,4,1269,102,24
10136,tgb,152.2167,-29.5667,0,ou,3,93,1614,24,1100,2,83,131,17,2,1149,234,6
10137,tgb,152.2167,-28.9333,0,ou,3,70,988,39,1039,1,90,164,-32,9,2289,144,34
