siteid,spid,x,y,occ,group,disturb,mi,rainann,rugged,soildepth,soilfert,solrad,tempann,topo,vegsys,cti,raindq,tempmin
10009,tgb,151.5888,-31.7238,0,sr,3,80,1004,35,1009,2,84,123,-17,2,1369,192,-23
10099,tgb,152.3149,-29.5145,0,sr,1,94,2408,14,1200,1,83,134,-4,6,1509,330,6
10100,tgb,152.3162,-29.4712,0,sr,2,93,1930,30,1149,2,87,147,-14,1,1139,270,7
10101,tgb,152.3168,-28.9171,0,sr,2,85,1396,19,1090,2,91,153,11,3,1159,198,24
10102,tgb,152.3171,-29.945,0,sr,1,91,1304,64,1039,2,85,124,12,3,1159,180,4
10103,tgb,152.3171,-29.9441,0,sr,1,91,1304,61,1039,2,85,125,26,3,1109,180,5
10104,tgb,152.3188,-28.9162,0,sr,2,85,1382,21,1100,2,91,154,16,3,1179,192,23
10105,tgb,152.3189,-31.183,0,sr,1,94,1994,27,1120,2,85,123,-4,1,1259,258,-6
10106,tgb,152.3209,-28.9135,0,sr,2,85,1370,30,1129,2,90,156,4,3,1309,192,26
10107,tgb,152.3223,-29.9487,0,sr,1,91,1398,47,970,2,80,122,24,3,1129,198,3
10108,tgb,152.3233,-29.4812,0,sr,2,92,2026,66,1049,1,95,142,-34,1,1499,282,5
10010,tgb,151.592,-31.8601,0,sr,3,92,1292,12,1100,2,88,115,17,2,1159,252,-6
10109,tgb,152.3248,-28.7835,0,sr,2,76,1148,44,1039,2,94,167,-29,2,1249,162,40
10110,tgb,152.3255,-29.4622,0,sr,2,93,2176,66,1029,2,75,132,2,2,1199,300,8
10111,tgb,152.3282,-31.202,0,sr,3,94,1948,77,1090,2,83,125,-30,2,1439,240,-16
10112,tgb,152.3283,-29.3476,0,sr,1,93,1736,29,1059,2,85,139,0,1,1409,240,7
10113,tgb,152.3291,-30.6183,0,sr,1,93,1788,112,1000,2,89,127,57,2,1099,264,0
10114,tgb,152.3291,-28.752,0,sr,2,84,1126,95,1000,2,78,165,2,2,1289,162,39
10115,tgb,152.3294,-29.4947,0,sr,1,94,2356,8,1220,1,85,133,2,1,1359,324,7
10116,tgb,152.3302,-30.6183,0,sr,1,92,1672,129,949,2,90,128,20,2,1069,246,-9
10117,tgb,152.3304,-31.1813,0,sr,1,95,2106,33,1080,2,81,122,5,1,1129,282,-3
10118,tgb,152.3305,-29.3323,0,sr,1,93,1772,36,1120,2,87,132,4,1,1259,246,9
10011,tgb,151.5968,-31.6851,0,sr,3,71,870,43,1039,2,90,139,-25,2,2039,150,-6
10119,tgb,152.3311,-28.918,0,sr,2,83,1312,28,1049,2,90,161,-15,3,1269,186,33
10120,tgb,152.3312,-28.9099,0,sr,2,81,1294,27,1049,2,92,160,-5,3,1179,186,32
10121,tgb,152.3313,-31.2147,0,sr,3,94,1854,80,1019,2,82,130,-34,1,1319,228,-16
10122,tgb,152.3316,-29.474,0,sr,1,92,1998,69,1059,1,92,140,17,2,1159,276,4
10123,tgb,152.3322,-28.909,0,sr,2,82,1282,27,1090,2,91,160,-10,3,1339,180,32
