siteid,spid,x,y,occ,group,age,deficit,dem,hillshade,mas,mat,r2pet,rain,slope,sseas,toxicats,tseas,vpd
20009,tgb,2014200,5495400,0,plant,2,0,90,93,1195,94,138,4341,30,20,1,161,14
20113,tgb,2100000,5368000,0,plant,2,0,27,195,1185,97,58,1723,8,4,1,170,21
21186,tgb,2486000,6035000,0,plant,2,0,190,67,1503,117,53,2296,26,-44,1,-45,35
21187,tgb,2486000,6076000,0,plant,2,0,23,180,1490,130,40,1760,2,-34,1,59,36
21188,tgb,2486200,5962900,0,plant,1,11,333,177,1494,105,33,1484,2,-53,1,-191,39
21190,tgb,2487000,5735000,0,plant,2,166,270,102,1399,110,20,826,21,-37,1,146,46
21192,tgb,2487000,5905000,0,plant,2,0,1708,234,1423,36,75,2505,23,-9,1,70,15
21193,tgb,2487000,5908000,0,plant,2,0,1568,188,1415,43,72,2391,28,-3,1,28,15
21194,tgb,2487000,5917000,0,plant,2,0,1665,253,1395,38,77,2395,38,13,1,59,8
21195,tgb,2487000,6012000,0,plant,2,1,309,229,1529,110,51,2128,30,-68,1,-83,41
21196,tgb,2487000,6035000,0,plant,2,0,97,219,1508,122,51,2239,17,-48,1,-57,37
21197,tgb,2487000,6747700,0,plant,2,86,186,172,1535,151,21,1304,12,72,1,283,31
20114,tgb,2100000,5369000,0,plant,2,0,97,166,1184,93,61,1793,9,6,1,191,20
21198,tgb,2487700,5720700,0,plant,1,178,115,140,1393,117,20,834,11,-39,1,84,48
21199,tgb,2488000,5829000,0,plant,0,158,258,178,1434,107,19,819,0,-48,0,-262,55
21200,tgb,2488000,5887000,0,plant,2,0,1117,176,1452,66,35,1390,3,-41,1,-119,35
21201,tgb,2488000,5905000,0,plant,2,0,2098,110,1413,16,91,2767,32,0,1,206,7
21202,tgb,2488000,5915000,0,plant,2,0,1275,96,1414,58,62,2134,28,-2,1,-66,18
21204,tgb,2488000,6747000,0,plant,2,92,122,198,1537,153,21,1301,11,70,1,232,32
21205,tgb,2488300,5887900,0,plant,2,0,1108,177,1453,66,35,1395,2,-41,1,-109,35
21206,tgb,2489000,5723000,0,plant,2,0,503,129,1379,99,40,1489,21,-27,1,159,38
21207,tgb,2489000,5729000,0,plant,2,109,185,130,1380,115,28,1059,19,-26,1,144,43
21208,tgb,2489000,5877000,0,plant,2,6,1100,100,1450,67,31,1227,19,-42,1,-109,37
20115,tgb,2101000,5368000,0,plant,2,0,132,198,1183,92,61,1804,7,6,1,192,19
21209,tgb,2489000,5889000,0,plant,2,0,1280,106,1450,58,41,1589,21,-38,1,-66,31
21210,tgb,2489000,6014000,0,plant,2,0,391,114,1528,106,53,2205,23,-67,1,-72,39
21213,tgb,2489300,6748100,0,plant,2,73,221,149,1535,149,22,1361,10,72,1,303,30
21214,tgb,2489400,5723900,0,plant,2,0,825,125,1365,83,45,1572,24,-15,1,175,30
21215,tgb,2489500,5863300,0,plant,2,2,1093,169,1442,67,33,1253,23,-42,1,-99,39
21216,tgb,2489588,6747648,0,plant,2,89,123,153,1538,153,21,1320,11,69,1,222,33
21217,tgb,2489600,6747600,0,plant,2,90,111,178,1539,154,21,1318,9,68,1,202,33
21219,tgb,2489900,6747400,0,plant,2,86,127,191,1538,153,21,1336,10,69,1,222,33
21220,tgb,2489900,6747700,0,plant,2,82,154,156,1537,152,22,1344,10,70,1,252,32
21221,tgb,2490000,5715000,0,plant,2,86,378,159,1386,105,26,1019,26,-35,1,158,42
20116,tgb,2101000,5369000,0,plant,1,0,21,182,1186,97,57,1703,3,4,1,170,21
21222,tgb,2490000,5723000,0,plant,2,0,775,186,1366,85,44,1547,25,-16,1,184,31
21223,tgb,2490000,5914000,0,plant,2,0,853,185,1441,79,47,1844,13,-23,1,-173,30
