siteid,spid,x,y,occ,group,sabio1,sabio2,sabio4,sabio5,sabio6,sabio7,sabio8,sabio12,sabio15,sabio17,sabio18
100012,tgb,-79.8,-0.616,0,plant,242,94,636,303,185,118,248,2253,83,75,1143
100142,tgb,-75.316,10.55,0,plant,274,86,423,322,218,104,274,1065,79,10,283
100145,tgb,-75.25,-3.75,0,plant,258,100,518,314,193,121,257,2414,17,419,597
100148,tgb,-75.216,-10.2,0,plant,257,132,525,328,171,157,260,2601,42,238,773
100159,tgb,-75.016,-8.75,0,plant,259,117,451,330,186,144,262,2999,33,345,878
100163,tgb,-74.95,-10.2,0,plant,257,124,411,327,177,150,258,2839,40,284,637
100176,tgb,-74.75,6,0,plant,267,97,358,321,215,106,263,3442,35,487,997
100197,tgb,-73.9,-8.3,0,plant,254,104,606,319,183,136,254,1923,36,189,530
100205,tgb,-73.583,-4.483,0,plant,264,99,390,323,206,117,265,2811,20,446,660
100206,tgb,-73.583,-3.916,0,plant,264,99,420,322,206,116,262,3016,15,543,709
100216,tgb,-73.416,-3.8,0,plant,265,99,424,322,207,115,263,3080,14,566,728
100231,tgb,-72.966,-3.5,0,plant,264,98,432,319,204,115,262,3138,16,559,713
100144,tgb,-75.25,-10.966,0,plant,240,120,614,309,158,151,241,1994,41,187,399
100269,tgb,-71,-11.75,0,plant,239,103,501,304,170,134,239,3377,35,372,735
100279,tgb,-70.483,-3.95,0,plant,259,93,359,311,202,109,260,3168,22,509,682
100295,tgb,-69.283,-12.25,0,plant,253,112,1062,326,168,158,260,2652,47,203,746
100301,tgb,-69.066,-12.583,0,plant,256,114,1046,330,173,157,263,2515,50,180,704
100308,tgb,-68.8,-10.85,0,plant,251,105,983,322,166,156,257,1926,53,81,437
100329,tgb,-67.833,-15.45,0,plant,223,108,1279,290,137,153,232,1724,50,129,599
100330,tgb,-67.783,-16.116,0,plant,211,126,1302,289,114,175,221,1269,57,70,463
100350,tgb,-67.25,-16.816,0,plant,169,150,1586,260,51,209,181,1088,65,46,401
100351,tgb,-67.25,-13.083,0,plant,259,118,1080,336,172,164,266,1781,56,128,469
100352,tgb,-67.25,0.033,0,plant,264,88,409,316,214,102,260,3198,17,554,632
