siteid,spid,x,y,occ,group,bcc,calc,ccc,ddeg,nutri,pday,precyy,sfroyy,slope,sradyy,swb,tavecc,topo
10009,tgb,1500200,18590,0,tree,81,0,0,3424,17,27,1031,0,103,16446,-237,0,-19
10099,tgb,1511650,13250,0,tree,0,0,0,3418,24,28,897,0,6,18311,-303,0,3
10999,tgb,1570800,21750,0,tree,33,1,60,2261,7,36,1377,0,292,18277,-22,-1,54
19999,tgb,1755025,84600,0,tree,0,0,0,3046,7,38,1033,0,178,17124,-183,0,-210
20000,tgb,1755050,84600,0,tree,0,0,63,2953,7,38,1041,0,220,21318,-241,0,178
20001,tgb,1755050,84650,0,tree,0,0,75,2921,7,38,1045,0,229,21792,-235,0,-83
20002,tgb,1755050,86950,0,tree,19,0,50,2717,12,39,1101,0,196,14021,-30,0,-220
20003,tgb,1755150,137450,0,tree,0,0,100,2055,17.5,48,2009,1,103,15694,81,-2,209
20004,tgb,1755200,55350,0,tree,0,0,100,1651,12,36,1337,1,279,11191,38,-3,0
20005,tgb,1755200,84800,0,tree,6,0,25,2812,7,38,1057,0,376,22929,-205,0,140
20006,tgb,1755220,110710,0,tree,0,0,100,1496,7,46,1701,0,354,22974,23,-4,12
20007,tgb,1755250,137250,0,tree,0,0,56,2029,18,48,2013,1,76,16132,87,-2,-8
20008,tgb,1755290,110280,0,tree,0,0,94,1663,7.0625,45,1649,0,292,10336,24,-4,-196
11000,tgb,1570830,106880,0,tree,37,0,50,2906,12,33,1100,0,111,18783,-178,0,-68
20009,tgb,1755300,137150,0,tree,0,0,94,2029,18,48,2016,1,87,15993,87,-2,-9
20010,tgb,1755300,151580,0,tree,19,0,81,2619,11,43,1462,0,187,13918,75,-1,85
20011,tgb,1755320,153700,0,tree,2,0,42,2973,17,40,1235,0,115,15235,43,0,-74
20012,tgb,1755450,84850,0,tree,0,0,13,2812,10.75,38,1057,0,396,22917,-174,0,20
20013,tgb,1755450,110300,0,tree,0,1,100,1614,7,45,1658,0,368,8571,24,-4,-142
20014,tgb,1755470,97630,0,tree,46,1,17,1721,7.625,44,1525,0,226,16730,22,-3,-210
20015,tgb,1755480,151550,0,tree,50,0,31,2542,11,43,1506,0,209,13098,71,-1,131
20016,tgb,1755520,110380,0,tree,0,1,100,1686,7.125,45,1639,0,218,11477,24,-4,-203
20017,tgb,1755550,55550,0,tree,12,1,87,1719,8.25,36,1317,1,229,11579,30,-3,167
20018,tgb,1755550,120100,0,tree,41,1,58,2162,7,45,1676,0,514,20227,7,-2,209
11001,tgb,1571000,56600,0,tree,0,0,0,2747,26,35,1456,0,14,18394,48,0,-10
20019,tgb,1755700,119950,0,tree,21,1,79,2081,7,45,1683,0,315,21506,6,-2,356
20020,tgb,1755730,110330,0,tree,0,1,100,1546,7,46,1675,0,321,10509,23,-4,-60
20021,tgb,1755870,153690,0,tree,8,0,4,2854,2.125,41,1302,0,163,15065,23,0,-2
20022,tgb,1755900,154250,0,tree,31,0,43,2995,17,40,1217,0,25,17718,10,0,-90
20023,tgb,1755920,97970,0,tree,0,0,100,1545,13,44,1572,0,230,19420,40,-4,-53
20024,tgb,1755950,55750,0,tree,10,0,90,1731,7,36,1306,1,270,11106,24,-3,-42
20025,tgb,1756050,114950,0,tree,0,0,0,2905,9.5,43,1409,0,195,14196,23,0,-37
