region,default,regression,weighted,downsample,equalsample
AWT,244.052,796.532,331.478,83.498,70.221
AWT,187.206,597.392,256.532,58.326,49.665
AWT,283.37,1466.144,379.03,92.486,78.6322
AWT,275.666,2191.332,367.556,91.546,77.75619999999999
AWT,151.446,814.566,205.172,42.182,35.3232
AWT,309.594,1223.686,401.05,102.992,86.25959999999999
AWT,224.838,811.99,312.14,73.636,62.8536
AWT,291.144,881.686,400.122,98.934,81.9078
AWT,162.672,693.656,227.052,52.676,43.5344
AWT,169.854,998.782,228.496,50.392,41.5218
AWT,138.192,1700.874,192.742,41.928,34.8446
AWT,50.772,385.394,71.018,12.312,9.8262
AWT,159.712,949.842,211.586,44.644,38.3322
AWT,116.406,417.312,161.256,31.398,24.7822
AWT,279.156,1014.624,363.656,90.032,74.1242
AWT,171.978,2410.158,229.692,48.908,40.815
AWT,230.316,1178.036,306.104,72.722,59.5932
AWT,327.642,997.906,449.322,112.778,94.557
AWT,114.946,329.032,154.276,28.448,23.5436
AWT,169.732,807.988,238.384,53.386,44.5524
AWT,32.744,197.024,43.614,7.792,6.3402
AWT,20.758,368.918,28.678,6.042,5.0602
AWT,97.968,1953.526,140.352,30.064,25.6178
AWT,22.132,210.728,30.104,6.316,5.2728
AWT,25.458,227.39,36.35,7.458,6.3422
AWT,67.714,362.526,97.728,19.736,16.3896
AWT,74.7,580.854,109.26,22.09,18.0536
AWT,54.896,376.568,78.684,14.632,12.2072
AWT,79.08,352.572,111.15,21.198,16.6464
AWT,119.67,764.022,171.354,36.806,31.0838
AWT,29.446,351.628,45.288,8.708,7.3472
AWT,124.992,1072.99,173.096,38.648,32.3858
AWT,36.24,343.844,50.978,9.758,8.0586
AWT,45.274,314.31,64.518,12.382,10.684
AWT,82.064,366.712,115.224,24.512,20.583
AWT,97.638,1866.186,141.458,29.026,23.500799999999998
AWT,49.602,344.306,72.536,12.71,10.139800000000001
AWT,77.492,377.836,113.842,22.486,18.6042
AWT,42.36,198.318,62.34,11.87,10.1406
AWT,105.926,402.608,149.418,31.492,25.576
CAN,36.244,154.812,48.832,8.99,8.109
CAN,981.226,1784.012,1190.528,260.428,213.372
CAN,301.184,1074.51,381.29,85.91,70.3676
CAN,88.066,436.582,117.402,21.632,18.198
CAN,253.206,687.342,327.52,63.778,52.267
CAN,53.904,236.16,71.032,9.128,7.3318
CAN,356.404,966.318,444.886,83.478,67.48780000000001
CAN,507.506,1317.744,636.49,130.992,108.011
CAN,212.232,706.668,274.246,48.258,39.48
CAN,382.282,1243.376,482.966,91.9,75.4484
CAN,683.83,1567.702,842.998,189.256,154.7896
CAN,503.014,1465.966,637.542,149.14,124.2042
CAN,80.286,613.01,111.06,20.73,17.1638
CAN,38.21,353.056,50.266,10.132,8.852
CAN,1052.784,2366.688,1299.592,332.646,277.6144
CAN,114.076,438.496,148.178,29.312,24.4428
CAN,537.044,1887.816,688.12,159.732,132.923
CAN,855.464,1583.272,1050.308,238.74,196.5894
CAN,194.48,768.302,249.472,45.538,37.441
CAN,625.954,1951.352,778.276,188.112,155.2542
NSW,56.48,532.1,70.112,8.916,7.5442
NSW,18.642,186.27,24.552,3.846,3.3028
NSW,33.552,332.34,42.74,5.768,4.9082
NSW,93.608,421.96,115.44,16.674,14.423
NSW,60.422,1146.18,82.41,10.924,9.020999999999999
NSW,92.82,543.772,114.236,17.09,13.9084
NSW,69.864,559.33,85.32,11.108,9.36
NSW,212.116,7546.186,262.078,39.832,33.5006
NSW,741.276,2505.414,941.534,185.218,153.6688
NSW,104.066,356.694,126.958,14.876,12.4184
NSW,100.864,514.996,131.474,17.104,13.8724
NSW,263.032,1068.662,334.578,53.64,43.8132
NSW,245.628,899.714,303.266,49.322,40.0908
